,Date.Sampled,Address,HCluster,X1st.Draw,X2nd.Draw,X3rd.Draw,X4th.Draw,X5th.Draw,X6th.Draw,X7th.Draw,X8th.Draw,X9th.Draw,X10th.Draw,X11th.Draw,longitude,latitude
139,11/24/2021,"11854 S Maplewood Ave, Chicago, IL",1,8.23,9.91,10.1,11.3,15.4,18.3,18.3,18.1,16.9,16.6,12.5,-87.68453512206659,41.678811286410884
140,2/25/2017,"1174 E 48Th St, Chicago, IL",2,6.3,8.37,8.48,8.9,8.21,8.44,9.27,10.5,11.1,12.3,3.66,-87.59718521766393,41.80790228077677
141,7/29/2017,"1114 E 48Th St, Chicago, IL",2,5.14,5.15,6.36,8.12,12.4,12.1,10.2,11.1,12.4,12.7,12.6,-87.59864166190593,41.80788720951883
142,6/7/2021,"1116 E 54Th St, Chicago, IL",2,4.79,2.62,1.39,5.74,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-87.59909,41.79804
143,8/23/2019,"1175 N Massasoit Ave, Chicago, IL",1,38.1,55.5,25.2,30.0,27.8,29.5,33.4,30.5,25.7,25.3,14.8,-87.76916686289736,41.90158302940585
144,6/16/2021,"1181 N Sacramento Ave, Chicago, IL",2,17.2,47.1,38.4,37.7,36.5,33.9,30.3,26.6,26.1,25.6,23.6,-87.70170298324808,41.90267329641943
146,1/10/2020,"1189 W 50Th St, Chicago, IL",2,12.0,11.7,12.7,24.6,28.9,28.8,29.2,32.6,33.4,33.0,31.5,-87.6548547633354,41.803193076634116
148,3/16/2016,"1154 W George St, Chicago, IL",2,2.98,1.97,1.89,2.05,2.67,2.53,1.9,1.69,1.61,1.4,0.47,-87.65733094337381,41.93448072469546
149,3/26/2016,"1139 W Lunt Ave, Chicago, IL",2,2.1,4.39,18.9,24.7,18.3,12.2,7.3,2.42,1.27,1.02,0.85,-87.66113971163065,42.0089027
150,7/12/2021,"1112 W Morse Ave, Chicago, IL",2,4.5,8.74,11.9,13.4,13.6,13.9,12.7,10.9,9.61,9.14,9.8,-87.65974158071074,42.00809318798169
151,12/11/2018,"1173 W Webster Ave, Chicago, IL",2,8.01,8.5,10.8,9.0,9.42,10.3,10.5,9.28,6.19,5.1,5.47,-87.65783191073302,41.921586282467224
154,6/17/2021,"12077 S Princeton Ave, Chicago, IL",2,2.86,3.63,4.84,4.19,4.22,5.2,5.62,5.5,5.49,5.72,4.91,-87.6296654296697,41.67479455552397
155,3/31/2022,"12129 S Justine St, Chicago, IL",2,5.56,5.66,4.67,4.92,5.29,6.44,6.21,5.9,6.35,5.4,4.24,-87.65992413742056,41.67333645383604
156,8/30/2021,"12114 S Racine Ave, Chicago, IL",1,4.5,5.0,5.0,5.2,5.9,13.0,22.0,22.0,14.0,8.6,2.4,-87.65180498920162,41.67347595
